period,state,stateDescription,direct-use,direct-use-units
2017,NC,North Carolina,2197692,megawatthours
2017,MT,Montana,101243,megawatthours
2017,MS,Mississippi,1848406,megawatthours
2017,MO,Missouri,287574,megawatthours
2017,MN,Minnesota,1433344,megawatthours
2017,MI,Michigan,2399105,megawatthours
2017,ME,Maine,2110846,megawatthours
2017,MD,Maryland,588866,megawatthours
2017,MA,Massachusetts,1049368,megawatthours
2017,LA,Louisiana,21974896,megawatthours
2017,PA,Pennsylvania,5341515,megawatthours
2017,OR,Oregon,493220,megawatthours
2017,OK,Oklahoma,1252040,megawatthours
2017,OH,Ohio,1007138,megawatthours
2017,NY,New York,1856584,megawatthours
2017,NV,Nevada,147949,megawatthours
2017,NM,New Mexico,171574,megawatthours
2017,NJ,New Jersey,1603153,megawatthours
2017,WY,Wyoming,1470673,megawatthours
2017,WV,West Virginia,642056,megawatthours
2017,WI,Wisconsin,1797524,megawatthours
2017,WA,Washington,991401,megawatthours
2017,VT,Vermont,4384,megawatthours
2017,VA,Virginia,2686351,megawatthours
2017,UT,Utah,1078250,megawatthours
2017,US,United States,140959389,megawatthours
2017,TX,Texas,35220381,megawatthours
2017,TN,Tennessee,2385508,megawatthours
2017,SD,South Dakota,41,megawatthours
2017,SC,South Carolina,2884649,megawatthours
2017,RI,Rhode Island,211299,megawatthours
2017,IL,Illinois,4132455,megawatthours
2017,ID,Idaho,618281,megawatthours
2017,IA,Iowa,2292128,megawatthours
2017,HI,Hawaii,668313,megawatthours
2017,GA,Georgia,5111630,megawatthours
2017,FL,Florida,5237389,megawatthours
2017,DE,Delaware,802677,megawatthours
2017,DC,District of Columbia,94626,megawatthours
2017,CT,Connecticut,981617,megawatthours
2017,CO,Colorado,76519,megawatthours
2017,CA,California,12794860,megawatthours
2017,AZ,Arizona,200818,megawatthours
2017,AR,Arkansas,1395048,megawatthours
2017,KY,Kentucky,414612,megawatthours
2017,KS,Kansas,53990,megawatthours
2017,IN,Indiana,4958199,megawatthours
2017,NH,New Hampshire,105111,megawatthours
2016,AK,Alaska,251325,megawatthours
2016,NH,New Hampshire,110141,megawatthours
2016,IL,Illinois,3502951,megawatthours
2016,IN,Indiana,4928602,megawatthours
2016,KS,Kansas,52547,megawatthours
2016,KY,Kentucky,406421,megawatthours
2016,AR,Arkansas,1336249,megawatthours
2016,AZ,Arizona,226135,megawatthours
2016,CA,California,12289369,megawatthours
2016,CO,Colorado,76539,megawatthours
2016,CT,Connecticut,841998,megawatthours
2016,DC,District of Columbia,99721,megawatthours
2016,DE,Delaware,834197,megawatthours
2016,FL,Florida,5369421,megawatthours
2016,GA,Georgia,5290620,megawatthours
2016,HI,Hawaii,733841,megawatthours
2016,IA,Iowa,2258629,megawatthours
2016,ID,Idaho,635665,megawatthours
2016,RI,Rhode Island,64352,megawatthours
2016,SC,South Carolina,2452584,megawatthours
2016,SD,South Dakota,61,megawatthours
2016,TN,Tennessee,2458109,megawatthours
2016,TX,Texas,36151297,megawatthours
2016,US,United States,139836699,megawatthours
2016,UT,Utah,1323916,megawatthours
2016,VA,Virginia,2693188,megawatthours
2016,VT,Vermont,4818,megawatthours
2016,WA,Washington,1028209,megawatthours
2016,WI,Wisconsin,1777176,megawatthours
2016,WV,West Virginia,470563,megawatthours
2016,WY,Wyoming,1464213,megawatthours
2016,NJ,New Jersey,1523355,megawatthours
2016,NM,New Mexico,178609,megawatthours
2016,NV,Nevada,153535,megawatthours
2016,NY,New York,1934551,megawatthours
2016,OH,Ohio,1082558,megawatthours
2016,OK,Oklahoma,1311150,megawatthours
2016,OR,Oregon,523107,megawatthours
2016,PA,Pennsylvania,5204017,megawatthours
2016,LA,Louisiana,21387685,megawatthours
2016,MA,Massachusetts,1160982,megawatthours
2016,MD,Maryland,778876,megawatthours
2016,ME,Maine,2150888,megawatthours
2016,MI,Michigan,2412215,megawatthours
2016,MN,Minnesota,1240242,megawatthours
2016,MO,Missouri,313675,megawatthours
2016,MS,Mississippi,1858114,megawatthours
2016,MT,Montana,97427,megawatthours
2016,NC,North Carolina,2163845,megawatthours
2016,ND,North Dakota,191784,megawatthours
2016,NE,Nebraska,450263,megawatthours
2016,AL,Alabama,4586964,megawatthours
